nonblocking: 0.062862, num_procs: 64, N: 100
nonblocking: 0.000234, num_procs: 64, N: 100
nonblocking: 0.001210, num_procs: 64, N: 100
nonblocking: 0.000199, num_procs: 64, N: 100
nonblocking: 0.000230, num_procs: 64, N: 100
nonblocking: 0.000197, num_procs: 64, N: 100
nonblocking: 0.000203, num_procs: 64, N: 100
nonblocking: 0.000204, num_procs: 64, N: 100
nonblocking: 0.000674, num_procs: 64, N: 100
nonblocking: 0.000261, num_procs: 64, N: 100
fence: 0.425112, num_procs: 64, N: 100
fence: 0.038454, num_procs: 64, N: 100
fence: 0.021218, num_procs: 64, N: 100
fence: 0.029145, num_procs: 64, N: 100
fence: 0.003662, num_procs: 64, N: 100
fence: 0.028300, num_procs: 64, N: 100
fence: 0.012204, num_procs: 64, N: 100
fence: 0.011831, num_procs: 64, N: 100
fence: 0.003580, num_procs: 64, N: 100
fence: 0.013488, num_procs: 64, N: 100
pscw: 0.216593, num_procs: 64, N: 100
pscw: 0.005680, num_procs: 64, N: 100
pscw: 0.024183, num_procs: 64, N: 100
pscw: 0.006739, num_procs: 64, N: 100
pscw: 0.029062, num_procs: 64, N: 100
pscw: 0.014145, num_procs: 64, N: 100
pscw: 0.019949, num_procs: 64, N: 100
pscw: 0.009442, num_procs: 64, N: 100
pscw: 0.011329, num_procs: 64, N: 100
pscw: 0.009503, num_procs: 64, N: 100
nonblocking: 0.057895, num_procs: 64, N: 200
nonblocking: 0.001337, num_procs: 64, N: 200
nonblocking: 0.002063, num_procs: 64, N: 200
nonblocking: 0.001326, num_procs: 64, N: 200
nonblocking: 0.001362, num_procs: 64, N: 200
nonblocking: 0.001335, num_procs: 64, N: 200
nonblocking: 0.001321, num_procs: 64, N: 200
nonblocking: 0.001349, num_procs: 64, N: 200
nonblocking: 0.001533, num_procs: 64, N: 200
nonblocking: 0.001443, num_procs: 64, N: 200
fence: 0.391434, num_procs: 64, N: 200
fence: 0.007244, num_procs: 64, N: 200
fence: 0.006902, num_procs: 64, N: 200
fence: 0.006691, num_procs: 64, N: 200
fence: 0.006500, num_procs: 64, N: 200
fence: 0.006540, num_procs: 64, N: 200
fence: 0.006712, num_procs: 64, N: 200
fence: 0.006721, num_procs: 64, N: 200
fence: 0.006711, num_procs: 64, N: 200
fence: 0.006925, num_procs: 64, N: 200
pscw: 0.206898, num_procs: 64, N: 200
pscw: 0.008736, num_procs: 64, N: 200
pscw: 0.008491, num_procs: 64, N: 200
pscw: 0.010437, num_procs: 64, N: 200
pscw: 0.009299, num_procs: 64, N: 200
pscw: 0.008007, num_procs: 64, N: 200
pscw: 0.008999, num_procs: 64, N: 200
pscw: 0.007881, num_procs: 64, N: 200
pscw: 0.008076, num_procs: 64, N: 200
pscw: 0.009237, num_procs: 64, N: 200
nonblocking: 0.070924, num_procs: 64, N: 300
nonblocking: 0.004031, num_procs: 64, N: 300
nonblocking: 0.004634, num_procs: 64, N: 300
nonblocking: 0.003824, num_procs: 64, N: 300
nonblocking: 0.003978, num_procs: 64, N: 300
nonblocking: 0.004017, num_procs: 64, N: 300
nonblocking: 0.003978, num_procs: 64, N: 300
nonblocking: 0.003579, num_procs: 64, N: 300
nonblocking: 0.003660, num_procs: 64, N: 300
nonblocking: 0.003454, num_procs: 64, N: 300
fence: 0.397582, num_procs: 64, N: 300
fence: 0.010816, num_procs: 64, N: 300
fence: 0.013272, num_procs: 64, N: 300
fence: 0.012812, num_procs: 64, N: 300
fence: 0.012377, num_procs: 64, N: 300
fence: 0.016661, num_procs: 64, N: 300
fence: 0.012538, num_procs: 64, N: 300
fence: 0.012803, num_procs: 64, N: 300
fence: 0.012504, num_procs: 64, N: 300
fence: 0.012454, num_procs: 64, N: 300
pscw: 0.235819, num_procs: 64, N: 300
pscw: 0.019992, num_procs: 64, N: 300
pscw: 0.012490, num_procs: 64, N: 300
pscw: 0.012148, num_procs: 64, N: 300
pscw: 0.013034, num_procs: 64, N: 300
pscw: 0.019552, num_procs: 64, N: 300
pscw: 0.021638, num_procs: 64, N: 300
pscw: 0.020195, num_procs: 64, N: 300
pscw: 0.018534, num_procs: 64, N: 300
pscw: 0.014439, num_procs: 64, N: 300
nonblocking: 0.073473, num_procs: 64, N: 400
nonblocking: 0.009503, num_procs: 64, N: 400
nonblocking: 0.009123, num_procs: 64, N: 400
nonblocking: 0.008349, num_procs: 64, N: 400
nonblocking: 0.007965, num_procs: 64, N: 400
nonblocking: 0.007930, num_procs: 64, N: 400
nonblocking: 0.008458, num_procs: 64, N: 400
nonblocking: 0.007546, num_procs: 64, N: 400
nonblocking: 0.007612, num_procs: 64, N: 400
nonblocking: 0.007137, num_procs: 64, N: 400
fence: 0.388707, num_procs: 64, N: 400
fence: 0.016879, num_procs: 64, N: 400
fence: 0.020966, num_procs: 64, N: 400
fence: 0.020528, num_procs: 64, N: 400
fence: 0.020520, num_procs: 64, N: 400
fence: 0.020436, num_procs: 64, N: 400
fence: 0.020444, num_procs: 64, N: 400
fence: 0.020458, num_procs: 64, N: 400
fence: 0.020482, num_procs: 64, N: 400
