nonblocking: 0.049553, num_procs: 4, N: 100
nonblocking: 0.002092, num_procs: 4, N: 100
nonblocking: 0.002118, num_procs: 4, N: 100
nonblocking: 0.002102, num_procs: 4, N: 100
nonblocking: 0.002063, num_procs: 4, N: 100
nonblocking: 0.001984, num_procs: 4, N: 100
nonblocking: 0.001956, num_procs: 4, N: 100
nonblocking: 0.001963, num_procs: 4, N: 100
nonblocking: 0.001968, num_procs: 4, N: 100
nonblocking: 0.001966, num_procs: 4, N: 100
fence: 0.129537, num_procs: 4, N: 100
fence: 0.020991, num_procs: 4, N: 100
fence: 0.018703, num_procs: 4, N: 100
fence: 0.015515, num_procs: 4, N: 100
fence: 0.009599, num_procs: 4, N: 100
fence: 0.002707, num_procs: 4, N: 100
fence: 0.007330, num_procs: 4, N: 100
fence: 0.002778, num_procs: 4, N: 100
fence: 0.006044, num_procs: 4, N: 100
fence: 0.054141, num_procs: 4, N: 100
pscw: 0.023932, num_procs: 4, N: 100
pscw: 0.005756, num_procs: 4, N: 100
pscw: 0.018198, num_procs: 4, N: 100
pscw: 0.016022, num_procs: 4, N: 100
pscw: 0.002492, num_procs: 4, N: 100
pscw: 0.002332, num_procs: 4, N: 100
pscw: 0.019120, num_procs: 4, N: 100
pscw: 0.017144, num_procs: 4, N: 100
pscw: 0.002558, num_procs: 4, N: 100
pscw: 0.002426, num_procs: 4, N: 100
nonblocking: 0.059743, num_procs: 4, N: 200
nonblocking: 0.011432, num_procs: 4, N: 200
nonblocking: 0.011393, num_procs: 4, N: 200
nonblocking: 0.011430, num_procs: 4, N: 200
nonblocking: 0.011472, num_procs: 4, N: 200
nonblocking: 0.011342, num_procs: 4, N: 200
nonblocking: 0.011383, num_procs: 4, N: 200
nonblocking: 0.011380, num_procs: 4, N: 200
nonblocking: 0.011422, num_procs: 4, N: 200
nonblocking: 0.011344, num_procs: 4, N: 200
fence: 0.094469, num_procs: 4, N: 200
fence: 0.012303, num_procs: 4, N: 200
fence: 0.012414, num_procs: 4, N: 200
fence: 0.012231, num_procs: 4, N: 200
fence: 0.012236, num_procs: 4, N: 200
fence: 0.012247, num_procs: 4, N: 200
fence: 0.012320, num_procs: 4, N: 200
fence: 0.012236, num_procs: 4, N: 200
fence: 0.012248, num_procs: 4, N: 200
fence: 0.012264, num_procs: 4, N: 200
pscw: 0.012322, num_procs: 4, N: 200
pscw: 0.012208, num_procs: 4, N: 200
pscw: 0.012135, num_procs: 4, N: 200
pscw: 0.012170, num_procs: 4, N: 200
pscw: 0.012100, num_procs: 4, N: 200
pscw: 0.012261, num_procs: 4, N: 200
pscw: 0.012179, num_procs: 4, N: 200
pscw: 0.012119, num_procs: 4, N: 200
pscw: 0.012181, num_procs: 4, N: 200
pscw: 0.012193, num_procs: 4, N: 200
nonblocking: 0.064990, num_procs: 4, N: 300
nonblocking: 0.051480, num_procs: 4, N: 300
nonblocking: 0.044571, num_procs: 4, N: 300
nonblocking: 0.038581, num_procs: 4, N: 300
nonblocking: 0.036836, num_procs: 4, N: 300
nonblocking: 0.037125, num_procs: 4, N: 300
nonblocking: 0.037879, num_procs: 4, N: 300
nonblocking: 0.037524, num_procs: 4, N: 300
nonblocking: 0.037351, num_procs: 4, N: 300
nonblocking: 0.037394, num_procs: 4, N: 300
fence: 0.163649, num_procs: 4, N: 300
fence: 0.037924, num_procs: 4, N: 300
fence: 0.037857, num_procs: 4, N: 300
fence: 0.038041, num_procs: 4, N: 300
fence: 0.038211, num_procs: 4, N: 300
fence: 0.039118, num_procs: 4, N: 300
fence: 0.037953, num_procs: 4, N: 300
fence: 0.037693, num_procs: 4, N: 300
fence: 0.037708, num_procs: 4, N: 300
fence: 0.037697, num_procs: 4, N: 300
pscw: 0.038670, num_procs: 4, N: 300
pscw: 0.040216, num_procs: 4, N: 300
pscw: 0.038646, num_procs: 4, N: 300
pscw: 0.037739, num_procs: 4, N: 300
pscw: 0.038568, num_procs: 4, N: 300
pscw: 0.038796, num_procs: 4, N: 300
pscw: 0.038531, num_procs: 4, N: 300
pscw: 0.039114, num_procs: 4, N: 300
pscw: 0.038964, num_procs: 4, N: 300
