nonblocking: 0.036318, num_procs: 9, N: 100
nonblocking: 0.001077, num_procs: 9, N: 100
nonblocking: 0.001100, num_procs: 9, N: 100
nonblocking: 0.001131, num_procs: 9, N: 100
nonblocking: 0.001088, num_procs: 9, N: 100
nonblocking: 0.001593, num_procs: 9, N: 100
nonblocking: 0.001106, num_procs: 9, N: 100
nonblocking: 0.001109, num_procs: 9, N: 100
nonblocking: 0.001083, num_procs: 9, N: 100
nonblocking: 0.001083, num_procs: 9, N: 100
fence: 0.126936, num_procs: 9, N: 100
fence: 0.004406, num_procs: 9, N: 100
fence: 0.003807, num_procs: 9, N: 100
fence: 0.004062, num_procs: 9, N: 100
fence: 0.003679, num_procs: 9, N: 100
fence: 0.003667, num_procs: 9, N: 100
fence: 0.003521, num_procs: 9, N: 100
fence: 0.003459, num_procs: 9, N: 100
fence: 0.003468, num_procs: 9, N: 100
fence: 0.003516, num_procs: 9, N: 100
pscw: 0.022537, num_procs: 9, N: 100
pscw: 0.003570, num_procs: 9, N: 100
pscw: 0.003458, num_procs: 9, N: 100
pscw: 0.003413, num_procs: 9, N: 100
pscw: 0.003578, num_procs: 9, N: 100
pscw: 0.003395, num_procs: 9, N: 100
pscw: 0.003425, num_procs: 9, N: 100
pscw: 0.003395, num_procs: 9, N: 100
pscw: 0.003549, num_procs: 9, N: 100
pscw: 0.003317, num_procs: 9, N: 100
nonblocking: 0.052124, num_procs: 9, N: 200
nonblocking: 0.008815, num_procs: 9, N: 200
nonblocking: 0.008364, num_procs: 9, N: 200
nonblocking: 0.007854, num_procs: 9, N: 200
nonblocking: 0.007841, num_procs: 9, N: 200
nonblocking: 0.008284, num_procs: 9, N: 200
nonblocking: 0.007337, num_procs: 9, N: 200
nonblocking: 0.007279, num_procs: 9, N: 200
nonblocking: 0.006878, num_procs: 9, N: 200
nonblocking: 0.006873, num_procs: 9, N: 200
fence: 0.142011, num_procs: 9, N: 200
fence: 0.006925, num_procs: 9, N: 200
fence: 0.006579, num_procs: 9, N: 200
fence: 0.006897, num_procs: 9, N: 200
fence: 0.006546, num_procs: 9, N: 200
fence: 0.006579, num_procs: 9, N: 200
fence: 0.006598, num_procs: 9, N: 200
fence: 0.006512, num_procs: 9, N: 200
fence: 0.006600, num_procs: 9, N: 200
fence: 0.006526, num_procs: 9, N: 200
pscw: 0.024434, num_procs: 9, N: 200
pscw: 0.006784, num_procs: 9, N: 200
pscw: 0.006799, num_procs: 9, N: 200
pscw: 0.006767, num_procs: 9, N: 200
pscw: 0.006839, num_procs: 9, N: 200
pscw: 0.006826, num_procs: 9, N: 200
pscw: 0.006767, num_procs: 9, N: 200
pscw: 0.006821, num_procs: 9, N: 200
pscw: 0.006924, num_procs: 9, N: 200
pscw: 0.006779, num_procs: 9, N: 200
nonblocking: 0.070698, num_procs: 9, N: 300
nonblocking: 0.025626, num_procs: 9, N: 300
nonblocking: 0.023237, num_procs: 9, N: 300
nonblocking: 0.021721, num_procs: 9, N: 300
nonblocking: 0.020550, num_procs: 9, N: 300
