fence: 0.000942, num_procs: 1, N: 50
fence: 0.000940, num_procs: 1, N: 50
fence: 0.000931, num_procs: 1, N: 50
fence: 0.001372, num_procs: 1, N: 50
pscw: 0.001547, num_procs: 1, N: 50
pscw: 0.001703, num_procs: 1, N: 50
pscw: 0.001605, num_procs: 1, N: 50
pscw: 0.001623, num_procs: 1, N: 50
pscw: 0.001604, num_procs: 1, N: 50
pscw: 0.001653, num_procs: 1, N: 50
pscw: 0.001589, num_procs: 1, N: 50
pscw: 0.001673, num_procs: 1, N: 50
pscw: 0.001592, num_procs: 1, N: 50
pscw: 0.001415, num_procs: 1, N: 50
nonblocking: 0.027142, num_procs: 1, N: 150
nonblocking: 0.020806, num_procs: 1, N: 150
nonblocking: 0.020450, num_procs: 1, N: 150
nonblocking: 0.020523, num_procs: 1, N: 150
nonblocking: 0.018674, num_procs: 1, N: 150
nonblocking: 0.018417, num_procs: 1, N: 150
nonblocking: 0.018960, num_procs: 1, N: 150
nonblocking: 0.018950, num_procs: 1, N: 150
nonblocking: 0.019145, num_procs: 1, N: 150
nonblocking: 0.019026, num_procs: 1, N: 150
fence: 0.019276, num_procs: 1, N: 150
fence: 0.018879, num_procs: 1, N: 150
fence: 0.018993, num_procs: 1, N: 150
fence: 0.019595, num_procs: 1, N: 150
fence: 0.019409, num_procs: 1, N: 150
fence: 0.019514, num_procs: 1, N: 150
fence: 0.019503, num_procs: 1, N: 150
fence: 0.019500, num_procs: 1, N: 150
fence: 0.020759, num_procs: 1, N: 150
fence: 0.021488, num_procs: 1, N: 150
pscw: 0.018975, num_procs: 1, N: 150
pscw: 0.018360, num_procs: 1, N: 150
pscw: 0.018442, num_procs: 1, N: 150
pscw: 0.018389, num_procs: 1, N: 150
pscw: 0.019018, num_procs: 1, N: 150
pscw: 0.020866, num_procs: 1, N: 150
pscw: 0.021923, num_procs: 1, N: 150
pscw: 0.019206, num_procs: 1, N: 150
pscw: 0.020516, num_procs: 1, N: 150
pscw: 0.018762, num_procs: 1, N: 150
nonblocking: 0.089755, num_procs: 1, N: 250
nonblocking: 0.088053, num_procs: 1, N: 250
nonblocking: 0.087831, num_procs: 1, N: 250
nonblocking: 0.089273, num_procs: 1, N: 250
nonblocking: 0.089370, num_procs: 1, N: 250
nonblocking: 0.089531, num_procs: 1, N: 250
nonblocking: 0.089726, num_procs: 1, N: 250
nonblocking: 0.089623, num_procs: 1, N: 250
nonblocking: 0.093408, num_procs: 1, N: 250
nonblocking: 0.091101, num_procs: 1, N: 250
fence: 0.091736, num_procs: 1, N: 250
fence: 0.085651, num_procs: 1, N: 250
fence: 0.089511, num_procs: 1, N: 250
fence: 0.085215, num_procs: 1, N: 250
fence: 0.084985, num_procs: 1, N: 250
fence: 0.089780, num_procs: 1, N: 250
fence: 0.092722, num_procs: 1, N: 250
fence: 0.092247, num_procs: 1, N: 250
fence: 0.092609, num_procs: 1, N: 250
fence: 0.097258, num_procs: 1, N: 250
pscw: 0.096884, num_procs: 1, N: 250
pscw: 0.088483, num_procs: 1, N: 250
pscw: 0.089275, num_procs: 1, N: 250
pscw: 0.089626, num_procs: 1, N: 250
pscw: 0.088932, num_procs: 1, N: 250
pscw: 0.088847, num_procs: 1, N: 250
pscw: 0.088785, num_procs: 1, N: 250
pscw: 0.088984, num_procs: 1, N: 250
pscw: 0.088510, num_procs: 1, N: 250
pscw: 0.088004, num_procs: 1, N: 250
nonblocking: 0.257919, num_procs: 1, N: 350
nonblocking: 0.266249, num_procs: 1, N: 350
nonblocking: 0.254996, num_procs: 1, N: 350
nonblocking: 0.245892, num_procs: 1, N: 350
nonblocking: 0.245829, num_procs: 1, N: 350
nonblocking: 0.245452, num_procs: 1, N: 350
nonblocking: 0.245515, num_procs: 1, N: 350
nonblocking: 0.245892, num_procs: 1, N: 350
nonblocking: 0.245448, num_procs: 1, N: 350
nonblocking: 0.245827, num_procs: 1, N: 350
fence: 0.254036, num_procs: 1, N: 350
fence: 0.246118, num_procs: 1, N: 350
fence: 0.246413, num_procs: 1, N: 350
fence: 0.245211, num_procs: 1, N: 350
fence: 0.245267, num_procs: 1, N: 350
fence: 0.245817, num_procs: 1, N: 350
fence: 0.245155, num_procs: 1, N: 350
fence: 0.245677, num_procs: 1, N: 350
fence: 0.245269, num_procs: 1, N: 350
fence: 0.245103, num_procs: 1, N: 350
pscw: 0.245339, num_procs: 1, N: 350
pscw: 0.245162, num_procs: 1, N: 350
pscw: 0.245329, num_procs: 1, N: 350
pscw: 0.245271, num_procs: 1, N: 350
pscw: 0.245100, num_procs: 1, N: 350
pscw: 0.245897, num_procs: 1, N: 350
pscw: 0.246656, num_procs: 1, N: 350
pscw: 0.245658, num_procs: 1, N: 350
pscw: 0.244918, num_procs: 1, N: 350
pscw: 0.245453, num_procs: 1, N: 350
nonblocking: 0.064586, num_procs: 36, N: 100
nonblocking: 0.000285, num_procs: 36, N: 100
nonblocking: 0.000443, num_procs: 36, N: 100
nonblocking: 0.000838, num_procs: 36, N: 100
nonblocking: 0.000320, num_procs: 36, N: 100
nonblocking: 0.000295, num_procs: 36, N: 100
nonblocking: 0.000302, num_procs: 36, N: 100
nonblocking: 0.000278, num_procs: 36, N: 100
nonblocking: 0.000284, num_procs: 36, N: 100
nonblocking: 0.000588, num_procs: 36, N: 100
fence: 0.435735, num_procs: 36, N: 100
fence: 0.013998, num_procs: 36, N: 100
fence: 0.011817, num_procs: 36, N: 100
fence: 0.009914, num_procs: 36, N: 100
fence: 0.006153, num_procs: 36, N: 100
fence: 0.026973, num_procs: 36, N: 100
fence: 0.008610, num_procs: 36, N: 100
fence: 0.006909, num_procs: 36, N: 100
fence: 0.003969, num_procs: 36, N: 100
fence: 0.008188, num_procs: 36, N: 100
pscw: 0.094529, num_procs: 36, N: 100
pscw: 0.009943, num_procs: 36, N: 100
pscw: 0.010637, num_procs: 36, N: 100
pscw: 0.008751, num_procs: 36, N: 100
pscw: 0.010611, num_procs: 36, N: 100
pscw: 0.011513, num_procs: 36, N: 100
pscw: 0.009382, num_procs: 36, N: 100
pscw: 0.006683, num_procs: 36, N: 100
pscw: 0.005770, num_procs: 36, N: 100
pscw: 0.011255, num_procs: 36, N: 100
nonblocking: 0.077898, num_procs: 36, N: 200
nonblocking: 0.001919, num_procs: 36, N: 200
nonblocking: 0.002161, num_procs: 36, N: 200
nonblocking: 0.002139, num_procs: 36, N: 200
nonblocking: 0.001912, num_procs: 36, N: 200
nonblocking: 0.001800, num_procs: 36, N: 200
nonblocking: 0.001796, num_procs: 36, N: 200
nonblocking: 0.001790, num_procs: 36, N: 200
nonblocking: 0.001779, num_procs: 36, N: 200
